,comments,users
296,收到宝贝就迫不急得的上身试穿一下，非常满意，挺帅气的。衣服做工、面料都不错?,澳***宝
297,也太好看了吧，只能用图来形容了,y***姐
298,衣服面料比较挺括有型，样子也很漂亮！哈哈！非常藏肉,春***1
299,穿着很显气质！而且显瘦，是我买到现在最喜欢的白衬衫了,闵***使
300,衣服样式不错，上身有气质，买的有点大了，五颗心,t***1
301,衣服面料很好，有型！买前看了评价特意买小了码，合身！下次还会再来！,y***6
302,不能用漂亮来形容，简直就帅到无法形容，大爱，170，58公斤，M号。下手吧。期待洗后的形状,小***3
303,衣服宽松版，上身效果非常好，是我在淘宝买到的最有设计感的衣服,神***水
304,这衬衫很适合纸片人穿，很有型有款。稍微有丢丢透，还是很喜欢。坐等贼美貌的铅笔裙邮来，搭配着穿！,右***印
305,很好看，面料也不错。好久没在淘宝买到这么心仪的东西啦。,h***2
306,非常喜欢，穿上有味道，是我的类型，第一次光顾，会有第二次，下次能否有些折扣呀,家***心
307,面料太容易皱了&hellip;款式还可以&hellip;面料再好一点就好了&hellip;哪怕再贵点呢！,空***4
308,和价格匹配吧、上身效果也不错,d***n
309,宝贝质量非常好！型也漂亮，非常合身！大爱！,仙***8
310,衣服质感超级赞，不枉费我等了那么多天&hellip;&hellip;,双***6
311,容易褶皱！版型非常好。,小***蚯
312,质量挺好的，衣衣也非常漂亮，穿着有范,d***1
313,虫家的衬衫越来越美 细节很棒 非常喜欢 客服也越来越热情 推荐,l***e
314,此用户没有填写评价。,y***0
315,做工精细，上身非常漂亮，静等天暖和,t***7
316,质量不错 蝙蝠袖 建议买小一码,w***9
317,"评价方未及时做出评价,系统默认好评!",黄***儿
318,非常满意，是我想要的样子，穿上显瘦，质量很好。,t***2
319,试了一下，想再买4件，周一至周五一天一件。款式独一无二,黑***米
320,不错，肥版，买时要注意,z***8
321,衬衫美哒哒哒！超喜欢，有气质三百多值,w***0
322,真的好看  但是也真的好贵  一件白衬衫三百多大洋,b***n
323,衬衫质量太好了，性价比超高,精***5
324,品质很好  款式洋气  大气,糖***蜜
325,收到宝贝衣服，很满意，质量做工都OK，,t***6
326,心目中的白衬衫质感,吴***购
327,确实太肥大了&hellip;&hellip;,x***n
328,版型超好耶 百分百棉料子也好,是***l
329,很有型的白衬衫，去年就收了一件，今年有了再加单！,t***4
330,款式不错，小贵,七***5
331,上身很漂亮，除了容易皱没别的毛病。,家***1
332,做工细腻！质量一流！非常满意！满分！,h***2
333,喜欢这个设计，是为在国外的孩子买的。,灰***4
334,衣服特有味道，做工也很好,紫***昔
335,很美。这件就是要宽松的穿才有味道哦,a***2
336,面料挺好，版型大气,周***7
337,比较厚不透，穿起来还不错,r***1
338,样子还可以，就是透，165，125斤，s够了,红***k
339,面料做工一级棒，就是发货慢一点！,c***e
340,质量款式都特别好，,艳***i
341,非常满意，质量，款式真是太棒了！,z***0
342,上身效果非常棒全五分,发***喵
343,挺好的码数挺大要经常熨,c***3
344,真的很有范，希望洗过之后也能保持这个型,越***丢
345,型很好，就是有点透,x***9
346,质高，价优，易皱,b***w
347,质地版型都很好  很喜欢,蜡***0
348,气质款，大爱,j***z
349,特别有范儿，质量杠杠的,t***4
350,漂亮，太喜欢了,w***1
351,感觉买大了 应该xs 懒得换 就这样吧,z***u
352,穿上很洋气,顾***8
353,怎么这么合适,小***6
354,不虚等待，一切从不失望,光***绣
355,好漂亮的衣服 很喜欢,j***r
356,帮姐姐买的，姐姐很满意,娜***爱
357,好看，合身,芬***2
358,面料特别好,p***1
359,很多年没来了，这件相当打动我,l***o
360,挺好，可以买小一码,秋***妖
361,"评价方未及时做出评价,系统默认好评!",a***5
362,洋气！大气！赞！,爱***贝
363,很喜欢，领口尤其喜欢,t***2
364,还不错，挺好看的,c***n
365,喜欢 百搭,l***c
366,质量不错，还没试穿,金***2
367,很有型的衬衣，非常喜欢,蓝***8
368,超级有范儿，很喜欢！,慕***梨
369,很喜欢?好评！,大***n
370,期待，忐忑。非常惊喜。1颜色白而亮，白得脱俗。2质地凉，滑，垂。3版型洒脱，宽松舒适。4衣领可立可顺，现代时尚。白衬衫最怕颜色不亮，质地低档，式样老旧，这款衬衫绝对值价。初夏配长裙或阔腿长裤应当时尚，高雅，脱俗。等几天，稍微暖和点再上图。我可从来不随便上图的。,1***1
371,太气愤了，第一次邮寄来质量不错，也不透，但是号大了，就寄回换个小号，结果收到后质量大打折扣，非常薄还很软很透，根本不值这个价，客服还说不是一批货，质量有差别很正常，就是默认了好坏混着卖,沈***7
372,立起领子和小羊腿袖子超好看，别家也有这款式，但价格更贵要350多，390多，,宝***恋
373,虽然天冷，但是还是试穿了，很好看，又大气，不大在网上购物的我只相信小虫，质量，质地真不错，价格也很亲民，还会继续关注，就是其他衣物价格再便宜点就更好了,w***4
374,虽然很薄，但是很有筋骨的衣服，款型特别有味道,m***y
375,大小合适，样子也不错，就是特别爱皱，如果不易皱就好了,t***3
376,一直喜欢小虫家的衣服，天冷没试穿，不知尺寸合适不？先收了。,豆***l
377,"评价方未及时做出评价,系统默认好评!",闫***3
378,等了好久才到，还没有试穿。配好裤子在穿！期待效果！,小***8
379,非常合适，上身效果非常棒，酷酷的！,渐***9
380,码子偏大 配高腰裤或者裙子好看,l***6
381,款式时尚，可以配牛仔裤，还可以配伞裙，超赞。,d***3
382,好看，有气场，但是感觉容易皱,s***8
383,好看，天冷还没有上身,z***3
